Stage,Monster_HP,Monster_Damage,Gold
2_5_3,562,121,284
2_5_4,566,122,287
2_5_5,570,123,290
2_5_6,574,124,293
2_5_7,578,125,296
2_5_8,582,126,299
2_5_9,586,127,300
3_0_0,590,128,303
3_0_1,600,130,306
3_0_2,610,132,309
3_0_3,620,134,312
3_0_4,630,136,315
3_0_5,640,138,318
3_0_6,650,140,321
3_0_7,660,142,324
3_0_8,670,144,327
3_0_9,680,146,330
3_1_0,690,148,333
3_1_1,700,150,336
3_1_2,710,152,339
3_1_3,720,154,342
3_1_4,730,156,345
3_1_5,740,158,348
3_1_6,750,160,351
3_1_7,760,162,354
3_1_8,770,164,357
3_1_9,780,166,360
3_2_0,790,168,363
3_2_1,800,170,366
3_2_2,810,172,369
3_2_3,820,174,372
3_2_4,830,176,375
3_2_5,840,178,378
3_2_6,850,180,381
3_2_7,860,182,384
3_2_8,870,184,387
3_2_9,880,186,390
3_3_0,890,188,393
3_3_1,900,190,396
3_3_2,910,192,399
3_3_3,920,194,402
3_3_4,930,196,405
3_3_5,940,198,408
3_3_6,950,200,411
3_3_7,960,205,414
3_3_8,970,210,417
3_3_9,980,215,420
3_4_0,990,220,423
3_4_1,1000,225,426
3_4_2,1010,230,429
3_4_3,1020,235,432
3_4_4,1030,240,435
3_4_5,1040,245,438
3_4_6,1050,250,441
3_4_7,1060,255,444
3_4_8,1070,260,447
3_4_9,1080,265,450
3_5_0,1090,270,453
3_5_1,1100,275,456
3_5_2,1110,280,459
3_5_3,1120,285,462
3_5_4,1130,290,465
3_5_5,1140,295,468
3_5_6,1150,300,471
3_5_7,1160,305,474
3_5_8,1170,310,477
3_5_9,1180,315,480
4_0_0,1200,320,484
4_0_1,1220,324,488
4_0_2,1240,328,492
4_0_3,1260,332,496
4_0_4,1280,336,500
4_0_5,1300,340,504
4_0_6,1320,344,508
4_0_7,1340,348,512
4_0_8,1360,352,516
4_0_9,1380,356,520
4_1_0,1400,360,524
4_1_1,1420,364,528
4_1_2,1440,368,532
4_1_3,1460,372,536
4_1_4,1480,376,540
4_1_5,1500,380,544
4_1_6,1520,384,548
4_1_7,1540,388,552
4_1_8,1560,392,556
4_1_9,1580,396,560
4_2_0,1600,400,564
4_2_1,1620,404,568
4_2_2,1640,408,572
4_2_3,1660,412,576
4_2_4,1680,416,580
4_2_5,1700,420,584
4_2_6,1720,424,588
4_2_7,1740,428,592
4_2_8,1760,432,596
4_2_9,1780,436,600
4_3_0,1800,440,604
4_3_1,1820,444,608
4_3_2,1840,448,612
4_3_3,1860,452,616
4_3_4,1880,456,620
4_3_5,1900,460,624
4_3_6,1920,464,628
4_3_7,1940,468,632
4_3_8,1960,472,636
4_3_9,1980,476,640
4_4_0,2000,480,644
4_4_1,2020,484,648
4_4_2,2040,488,652
4_4_3,2060,492,656
4_4_4,2080,496,660
4_4_5,2100,500,664
4_4_6,2120,504,668
4_4_7,2140,508,672
4_4_8,2160,512,676
4_4_9,2180,516,680
4_5_0,2200,520,684
4_5_1,2220,524,688
4_5_2,2240,528,692
4_5_3,2260,532,696
4_5_4,2280,536,700
4_5_5,2300,540,704
4_5_6,2320,544,708
4_5_7,2340,548,712
4_5_8,2360,552,716
4_5_9,2380,556,720
5_0_0,2420,560,725
5_0_1,2440,570,730
5_0_2,2460,570,735
5_0_3,2480,575,740
5_0_4,2500,580,745
5_0_5,2520,585,750
5_0_6,2540,590,755
5_0_7,2560,595,760
5_0_8,2580,600,765
5_0_9,2600,605,770
5_1_0,2620,610,775
5_1_1,2640,615,780
5_1_2,2660,620,785
5_1_3,2680,625,790
5_1_4,2700,630,795
5_1_5,2720,635,800
5_1_6,2740,640,805
5_1_7,2760,645,810
5_1_8,2780,650,815
5_1_9,2800,655,820
5_2_0,2820,660,825
5_2_1,2840,665,830
5_2_2,2860,670,835
5_2_3,2880,675,840
5_2_4,2900,680,845
5_2_5,2920,685,850
5_2_6,2940,690,855
5_2_7,2960,695,860
5_2_8,2980,700,865
5_2_9,3000,705,870
5_3_0,3020,710,875
5_3_1,3040,715,880
5_3_2,3060,720,885
5_3_3,3080,725,890
5_3_4,3100,730,895
5_3_5,3120,735,900
5_3_6,3140,740,905
5_3_7,3160,745,910
5_3_8,3180,750,915
5_3_9,3200,755,920
5_4_0,3220,760,925
5_4_1,3240,765,930
5_4_2,3260,770,935
5_4_3,3280,775,940
5_4_4,3300,780,945
5_4_5,3320,785,950
5_4_6,3340,790,955
5_4_7,3360,795,960
5_4_8,3380,800,965
5_4_9,3400,805,970
5_5_0,3420,810,975
5_5_1,3440,815,980
5_5_2,3460,820,985
5_5_3,3480,825,990
5_5_4,3500,830,995
5_5_5,3520,835,1000
5_5_6,3540,840,1005
5_5_7,3560,845,1010
5_5_8,3580,850,1015
5_5_9,3600,855,1050
6_0_0,3650,860,1050
6_0_1,3655,863,1100
6_0_2,3660,866,1150
6_0_3,3665,869,1200
6_0_4,3670,872,1250
6_0_5,3675,875,1300
6_0_6,3680,878,1350
6_0_7,3685,881,1400
6_0_8,3690,884,1450
6_0_9,3695,887,1500
6_1_0,3700,890,1550
6_1_1,3705,893,1600
6_1_2,3710,896,1650
6_1_3,3715,899,1700
6_1_4,3720,902,1750
6_1_5,3725,905,1800
6_1_6,3730,908,1850
6_1_7,3735,911,1900
6_1_8,3740,914,1950
6_1_9,3745,917,2000
6_2_0,3750,920,2050
6_2_1,3755,923,2100
6_2_2,3760,926,2150
6_2_3,3765,929,2200
6_2_4,3770,932,2250
6_2_5,3775,935,2300
6_2_6,3780,938,2350
6_2_7,3785,941,2400
6_2_8,3790,944,2450
6_2_9,3795,947,2500
6_3_0,3800,950,2550
6_3_1,3805,953,2600
6_3_2,3810,956,2650
6_3_3,3815,959,2700
6_3_4,3820,962,2750
6_3_5,3825,965,2800
6_3_6,3830,968,2850
6_3_7,3835,971,2900
6_3_8,3840,974,2950
6_3_9,3845,977,3000
6_4_0,3850,980,3050
6_4_1,3855,983,3100
6_4_2,3860,986,3150
6_4_3,3865,989,3200
6_4_4,3870,992,3250
6_4_5,3875,995,3300
6_4_6,3880,998,3350
6_4_7,3885,1001,3400
6_4_8,3890,1004,3450
6_4_9,3895,1007,3500
6_5_0,3900,1010,3550
6_5_1,3905,1013,3600
6_5_2,3910,1016,3650
6_5_3,3915,1019,3700
6_5_4,3920,1022,3750
6_5_5,3925,1025,3800
6_5_6,3930,1028,3850
6_5_7,3935,1031,3900
6_5_8,3940,1034,3950
6_5_9,3945,1037,5000
